fish_name,scientific_name,family,genus,gear,fisher_ID,date,month,year,village,time_decimal,total_weight,number_fish,total_sold,total_consumed
laoko,NA,NA,NA,1,28,6/17/2017,6,2017,4,2.33,0.525,1,0.525,0
laoko,NA,NA,NA,8,9,11/26/2016,11,2016,2,4.75,1.945,1,0,1.945
laoko,NA,NA,NA,1,28,9/9/2016,9,2016,4,2.17,0.105,2,0.105,0
laoko,NA,NA,NA,8,9,5/15/2017,5,2017,3,2.53,0.025,1,0.025,0
laoko,NA,NA,NA,1,13,11/26/2016,11,2016,2,9.33,2.34,2,0,2.34
laoko,NA,NA,NA,7,24,7/19/2016,7,2016,4,2.33,0.23,1,0.23,0
laoko,NA,NA,NA,1,8,3/29/2017,3,2017,2,3.5,0.285,1,0,0.285
laoko,NA,NA,NA,1,8,6/21/2017,6,2017,2,3.83,0.065,1,0,0.065
laoko,NA,NA,NA,8,37,8/20/2017,8,2017,4,3.92,1.515,2,0,1.515
laoko,NA,NA,NA,7,25,7/19/2016,7,2016,4,1,0.69,3,0.69,0
laoko,NA,NA,NA,1,10,3/25/2017,3,2017,3,2.57,0.2,1,0.2,0
laoko,NA,NA,NA,1,9,10/14/2016,10,2016,4,2,1.609,1,1.609,0
laoko,NA,NA,NA,1,8,1/28/2017,1,2017,2,3.17,0.08,1,0,0.08
hoditrovy,Bothus sp.,Soleidae,Bothus,1,27,3/18/2016,3,2016,1,3.08,0.12,1,0,0.12
hoditrovy,Bothus sp.,Soleidae,Bothus,1,29,4/23/2016,4,2016,1,4.13,1.571214678,4,1.571214678,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,36,3/22/2016,3,2016,1,4,0.145,1,0,0.145
hoditrovy,Bothus sp.,Soleidae,Bothus,1,5,2/26/2016,2,2016,1,6.5,2.356822016,6,2.356822016,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,18,4/20/2017,4,2017,2,3.25,0.315,2,0,0.315
hoditrovy,Bothus sp.,Soleidae,Bothus,8,2,3/12/2016,3,2016,3,2.28,0.125,1,0,0.125
hoditrovy,Bothus sp.,Soleidae,Bothus,1,11,7/17/2016,7,2016,3,3.33,2.625,6,0,2.625
hoditrovy,Bothus sp.,Soleidae,Bothus,1,52,3/23/2017,3,2017,1,3.58,0.785607339,2,0.785607339,0
hoditrovy,Bothus sp.,Soleidae,Bothus,8,14,6/16/2016,6,2016,2,4.92,0.075,1,0.075,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,10/27/2016,10,2016,2,4.42,2.82,5,1.625,1.195
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,6/11/2016,6,2016,3,1.7,0.342,1,0,0.342
hoditrovy,Bothus sp.,Soleidae,Bothus,1,36,2/22/2017,2,2017,1,7.42,3.928036694,10,3.928036694,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,1,2/22/2017,2,2017,1,5.02,0.02,1,0,0.02
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,6/29/2016,6,2016,2,4.17,0.52,3,0.52,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,10/9/2016,10,2016,4,3,2.266,2,2.266,0
