"respondent","variable","value"
1,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
2,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
3,"Establishment of no-take areas are important to achieve fisheries sustainability","3"
4,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
5,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
6,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
7,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
8,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
9,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
10,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
11,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
12,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
13,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
14,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
15,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
16,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
17,"Establishment of no-take areas are important to achieve fisheries sustainability","3"
18,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
19,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
20,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
21,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
22,"Establishment of no-take areas are important to achieve fisheries sustainability","3"
23,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
24,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
25,"Establishment of no-take areas are important to achieve fisheries sustainability","3"
26,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
27,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
28,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
29,"Establishment of no-take areas are important to achieve fisheries sustainability","3"
30,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
31,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
32,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
33,"Establishment of no-take areas are important to achieve fisheries sustainability","4"
34,"Establishment of no-take areas are important to achieve fisheries sustainability","2"
35,"Establishment of no-take areas are important to achieve fisheries sustainability","1"
